S No,Passion,Skill,Course/Degree,Institution,Training/Programme
258,DevOps,Embedded C,M.Sc Data Science - Specialization,ISWA Bangalore,Udemy - Embedded C Specialization
259,Biotechnology,Wellness Therapy + Genomics,Diploma Spa Management (Honours),ISWA Bangalore,Pluralsight - Spa Therapy Training
260,Culinary Arts,Bakery & Confectionery,Certificate Bakery,Culinary Academy of India,PMKVY - Baker Training
261,Forestry,Applied Linguistics,B.A Linguistics,University of Delhi,Google - Linguistics
262,Electrical Engineering,Renewable Energy + Embedded Systems,M.Tech Power - Specialization,NIT Surathkal,Udemy - Solar Technician Training
263,Publishing,Editorial,MA Publishing,Symbiosis Pune,NPTEL - Publishing Studies
264,Interior Design,Dairy Products,M.Tech Dairy Technology (Honours),Anand Agricultural University,NPTEL - Dairy Skills
265,Fitness Training,Talent Management,BBA HR,Symbiosis Pune,NPTEL - Human Resource Management
266,E-commerce,Honey Production,Diploma Apiculture,National Bee Board,NSDC - Beekeeping Training (Certificate)
267,Fine Arts,Career Prediction,Workshop Palmistry,Vedic Learning Centers,Alternative Career Guidance (Certificate)
268,Blockchain Technology,Intro to Investment Banking,MBA Finance,IIM Calcutta,NSDC - Financial Services
269,Interpretation,Direction + Milk Processing,PG Diploma Theatre - Specialization,FTII Pune,SWAYAM - Performing Arts
270,Theatre Arts,Applied Live Sound,Certificate Audio Engineering - Specialization,SAE Institute,NSDC - Sound Engineering (Certificate)
271,Robotics,Robot Programming,B.Tech Robotics,SRM Institute,SWAYAM - Robotics
272,Numerology,Numerology Consultation,Certificate Numerology,Institute of Vedic Astrology,Online Numerology Course
273,Chemical Engineering,Computer Vision,M.Tech Computer Vision,IIIT Bangalore (Dept. of CS),NPTEL - Computer Vision
274,Pharmacy,Financial Regulations,LLM Banking Law,NLIU Bhopal,Udemy - Banking Law
275,Screenwriting,Milk Processing,B.Tech Dairy Technology,NDRI Karnal,SWAYAM - Dairy Farming
276,Industrial Safety,Occupational Health,B.Tech Industrial Safety,University of Petroleum,NPTEL - Safety Engineering
277,Law,Intellectual Property,LLM IP,IIT Kharagpur,NPTEL - IPR
278,Artificial Intelligence,Web Development,B.Tech Electronics,Lakshmibai National Institute,Pluralsight - Web Development Specialization
279,Comic Book Art,Story Boarding,Certificate Comics,Toonz Animation Academy,PMKVY - Animation Art
280,Mass Communication,Counseling,M.Phil Clinical Psychology,NIMHANS Bangalore,Google - Counseling Skills
281,Drones,Applied Music Composition,Diploma Music - Specialization,Vellore Institute of Technology,Simplilearn - Music Fundamentals
282,Masonry,Brick Laying - Intermediate,Certificate Masonry,NSDC Training Centers,NSDC - Construction Skills
283,Business Management,Electric Vehicles,M.Tech Automobile,NIT Trichy,PMKVY - Automobile Technician
284,Palmistry,Hand Reading - Advanced,Certificate Palmistry (Honours),Institute of Palmistry,Pluralsight - Traditional Knowledge Programs
285,Unani Medicine,Sports Psychology - Fundamentals,M.Sc Sports Science,Punjabi University,PMKVY - Sports Coach
286,Waste Management,Intro to Recycling,Diploma Waste Management,IGEP Ahmedabad,Udemy - Waste Picker Training
287,Criminology,Embedded Systems,M.Tech VLSI (Honours),BITS Pilani,NSDC - Electronics Technician
288,Spa Management,Fundamental Analysis,PG Diploma Capital Markets,NISM Mumbai,NPTEL - NISM Certifications
289,Pottery,Genetic Engineering,B.Tech Biotechnology (Honours),IIT Kharagpur,NPTEL - Biotechnology
290,Botany,Landscape Design,M.Sc Horticulture,University of Agricultural Sciences (Dept. of CS),Pluralsight - Government Agriculture Programs
291,Rural Development,Hindustani Classical - Basics,Diploma Music,ITC Sangeet Research Academy,edX - Sangeet Natak Akademi
292,Banking Law,Securities Law + Marketplace Management,PG Diploma Securities Law,NISM Mumbai,SWAYAM - NISM Certifications
293,Software Development,AR Development,B.Tech AR/VR,VIT Vellore,SWAYAM - Unity AR Foundation Course
294,Nutrition,Career Prediction,Workshop Palmistry - Specialization,Vedic Learning Centers,Alternative Career Guidance
295,Embedded Systems,NLP,MBA (IT),Punjabi University,Udemy - NLP Specialization
296,Museum Studies,Fundamental Analysis - Fundamentals,PG Diploma Capital Markets (Honours),NISM Mumbai,NISM Certifications
297,Augmented Reality,Hands-on Cognitive Science,PhD Neuroscience - Specialization,IISc Bangalore,SWAYAM - Cognitive Psychology
298,Tourism,Clinical Pharmacy,M.Pharm - Specialization,NIPER Mohali,SWAYAM - Pharmacy Technician Course
299,Automobile Engineering,Vehicle Design,B.Tech Automobile,VIT Vellore,NPTEL - Automotive Engineering
300,Tattoo Art,Tattoo Design,Certificate Tattoo Art,Indian Tattoo Institute,NSDC - Body Art
301,Masonry,Construction Work - Fundamentals,ITI Masonry,Government ITI,PMKVY - Mason Training
302,Electronics Engineering,Embedded Systems - Professional,M.Tech VLSI - Specialization,BITS Pilani,Google - Electronics Technician
303,DevOps,Unreal Engine,B.Tech CSE,Lovely Professional University (Dept. of CS),Unity Learn Platform
304,Philosophy,Court Interpretation,Diploma Interpretation - Specialization,High Court Training Programs,NSDC - Legal Interpretation (Certificate)
305,Product Management,Cloud Computing,B.Tech Information Technology - Specialization,Banaras Hindu University,Google - Cloud Computing Specialization
306,Library Science,Sensor Networks,M.Tech IoT,VIT Vellore,Google - IoT Skills Development
307,Product Management,NLP,Diploma in AI & ML - Specialization,Tamil Nadu Agricultural University,edX - NLP Specialization
308,Fitness Training,Personal Training,Diploma Fitness,K11 School of Fitness,Simplilearn - Fitness Training
309,Drones,Network Security + Building Design,M.Tech Network Security,Anna University,NPTEL - Cryptography & Network Security (Certificate)
310,Alternative Medicine,Naturopathy,BNYS,SDM College of Naturopathy,Google - Government Naturopathy Programs
311,Comic Book Art,Data Analysis,B.Sc Statistics,NIT Trichy,NPTEL - Probability & Statistics
312,Early Childhood Education,Montessori Training - Professional,Certificate Montessori (Honours),Madras Christian College,Coursera - Montessori India Workshop
313,Fitness Training,Wedding Planning - Basics,BBA Event Management - Specialization,Symbiosis Pune,NSDC - Event Management
314,Public Health,Health Policy - Essentials,M.Sc Public Health - Specialization,TISS Mumbai (Dept. of CS),WHO Training Programs
315,Calligraphy,Applied IP Rights,LLM IP Law,NALSAR Hyderabad,NPTEL - Intellectual Property Rights (Certificate)
316,Criminology,Operations Management + Event Management,BBA,NMIMS Mumbai,Pluralsight - Operations Management
317,Fisheries,Wellness Therapy,Diploma Spa Management (Honours),ISWA Bangalore,SWAYAM - Spa Therapy Training
318,Music Production,Siddha Practice,BSMS,Government Siddha Medical College,AYUSH Siddha Programs
319,Business Management,Strategic Management + Oral Surgery,MBA,IIM Ahmedabad (Dept. of CS),SWAYAM - Business Strategy
320,Law,Illustration - Essentials,Diploma Comics - Specialization,Arena Animation,SWAYAM - Illustration Skills
321,Chess Training,Chess Strategy,Diploma Chess Coaching,Chess Gurukul,NSDC - Chess Trainer
322,Waste Management,Recycling,Diploma Waste Management,IGEP Ahmedabad,PMKVY - Waste Picker Training
323,Textile Design,Hands-on Sports Nutrition,M.Sc Nutrition,SNDT Mumbai,PMKVY - Dietitian Training
324,Journalism,Print Journalism + Digital Forensics,B.A Journalism - Specialization,Delhi University,SWAYAM - Media Studies
325,Reflexology,Financial Accounting + Medical Imaging,B.Com Accounting,Hindu College Delhi,PMKVY - Tally Accounting (Certificate)
326,Sports Management,Pediatrics,MD Pediatrics - Specialization,JIPMER Puducherry (Dept. of CS),Simplilearn - IAP Pediatric Training
327,Artificial Intelligence,Natural Language Processing - Basics,M.Tech NLP - Specialization,IIT Bombay (Dept. of CS),SWAYAM - AI & ML
328,Geology,Risk Management,BBA Insurance,University of Mumbai,PMKVY - Insurance Agent Training
329,Artificial Intelligence,Web Development,BCA,Tata Football Academy,Google - Web Development Specialization
330,Leather Work,Footwear Making,Diploma Leather Technology,FDDI Noida,NSDC - Footwear Skills
331,Reflexology,Plant Pathology + Sound Engineering,M.Sc Botany,Presidency College Chennai (Dept. of CS),NPTEL - Plant Science
332,Tourism,Arabic Calligraphy + Petroleum Geology,Workshop Calligraphy - Specialization,Jamia Hamdard,NSDC - Traditional Arts (Certificate)
333,Urban Planning,Embedded Systems - Essentials,B.Tech ECE,IIT Kharagpur,SWAYAM - Introduction to IoT
334,Water Management,Medical Microbiology - Essentials,M.Sc Microbiology - Specialization,Delhi University,NPTEL - Microbiology (Certificate)
335,Video Editing,Film Editing,Diploma Video Editing,FTII Pune,NPTEL - Video Production
336,Supply Chain Management,Urban Sociology + Story Boarding,M.A Sociology,JNU Delhi,Simplilearn - Sociological Perspectives
337,Fashion Design,Garment Design,B.Des Fashion Design,NIFT Mumbai,NSDC - Fashion Design Course
338,Stock Market Trading,Advanced Materials,M.Tech Materials Science,IIT Kanpur,NPTEL - Materials Science
339,Artificial Intelligence,Cloud Computing,MBA (IT) (Honours),NSE Academy,Coursera - Cloud Computing Specialization
340,Retail Management,Patient Care - Essentials,B.Sc Nursing (Honours),CMC Vellore,Microsoft Learn - Government Nursing Training Program
341,Plumbing,Mixed Reality - Fundamentals,M.Tech AR/VR,IIIT Hyderabad,NSDC - AR/VR Development
342,Fisheries,Aquaculture,B.F.Sc - Specialization,Central Institute of Fisheries Education,Pluralsight - Fisheries Training
343,Mass Communication,Public Relations,B.A Mass Communication,Manipal University,PMKVY - Communication Skills
344,Artificial Intelligence,Natural Language Processing,M.Tech NLP,IIT Bombay,SWAYAM - AI & ML
345,History,Intro to Climate Policy,LLM Environmental Law,NLSIU Bangalore,SWAYAM - Environmental Law
346,Internet of Things,Sensor Networks - Essentials,M.Tech IoT,VIT Vellore,NSDC - IoT Skills Development (Certificate)
347,Dentistry,GST Compliance,PG Diploma Tax Law,ICAI Regional Offices,SWAYAM - GST & Taxation
348,Software Development,Embedded C,B.Sc Computer Science,Mudra Institute of Communications,edX - Embedded C Specialization
349,Early Childhood Education,Montessori Training,Certificate Montessori,Indian Montessori Training,Montessori India Workshop
350,Bioinformatics,Comedy Writing,Workshop Comedy,Anna University,Online Comedy Masterclass
351,Sports Management,Event Management,PG Diploma Sports Management,Symbiosis Pune,PMKVY - Sports Coaching
352,Data Science,Machine Learning,Diploma in AI & ML (Honours),Central Institute of Indian Languages,Udemy - Machine Learning Specialization
353,Nursing,Public Policy - Intermediate,B.A Political Science,JNU Delhi,NPTEL - Political Science
354,Textile Design,Handloom Weaving,Diploma Textiles,National Institute of Fashion Technology,PM Vishwakarma Scheme
355,Mechanical Engineering,Fabric Printing,Certificate Textiles,Weavers Service Centers,NSDC - Handloom Skills (Certificate)
356,Ethical Hacking,Network Penetration,Advanced Diploma Cybersecurity,Indian Cyber Security Solutions,PMKVY - Cybersecurity Training
357,Pharmacy,Petrochemicals,M.Tech in Chemical,IIT Guwahati,PMKVY - Chemical Plant Operator
358,Medical Science,Web Application Security,Certificate Ethical Hacking,EC-Council India,CEH Certification Training
359,Fire Safety,Intro to Fire Engineering,Diploma Fire Safety,National Fire Service College,SWAYAM - Fire Safety Training
360,Labor Law,Employment Law,PG Diploma Labor Law,TISS Mumbai,SWAYAM - Industrial Relations
361,Digital Marketing,Sports Rehabilitation,BPT - Specialization,Manipal College (Dept. of CS),NSDC - Physiotherapy Assistant
362,Badminton Coaching,Investment Banking - Basics,MBA Finance,IIM Calcutta,NSDC - Financial Services
363,Waste Management,Solid Waste,Certificate Waste Management,SAAHAS Bangalore,NSDC - Waste Management
364,Tattoo Art,Holistic Wellness + Wood Working,Diploma Aromatherapy - Specialization,NIT Trichy,edX - Alternative Therapy
365,Space Technology,Space Science,M.Sc Space Science,Physical Research Laboratory,NPTEL - Satellite Technology
366,Swimming Coaching,Swimming Training,Diploma Swimming Coaching,Swimming Federation of India,NSDC - Swimming Coach
367,Literature,Comparative Literature - Fundamentals,M.A English (Honours),Delhi University,SWAYAM - Literary Studies
368,Neuroscience,Brain Research,M.Sc Neuroscience,NIMHANS Bangalore,NPTEL - Neuroscience
369,Nutrition,Leather Crafting,ITI Leather Goods Making - Specialization,Government ITI (Dept. of CS),PMKVY - Leather Goods Maker
370,Medical Biotechnology,House Painting,ITI Painting,Government ITI,Udemy - Painter Training
371,Artificial Intelligence,Deep Learning,B.Tech CSE,IIT Kanpur,Google AI Crash Course
372,Comic Book Art,Practical Illustration,Diploma Comics,Arena Animation,NSDC - Illustration Skills
373,Palmistry,Career Prediction,Workshop Palmistry,Vedic Learning Centers,Alternative Career Guidance
374,Interior Design,Furniture Design,M.Des Interior Design,NID Ahmedabad,SWAYAM - Design Fundamentals
375,Photography,Wildlife Photography,Certificate Photography,National Geographic India,WWF Photography Workshop
376,Product Management,NLP,BCA (Honours),Chennai Music Academy,Coursera - NLP Specialization
377,Sports Science,Pure Mathematics,B.Sc Mathematics,St. Stephens College,NPTEL - Mathematics
378,Radiology,Medical Imaging,B.Sc Radiology,Manipal University,PMKVY - Radiology Technician
379,Materials Science,Advanced Materials + Quantum Cryptography,M.Tech Materials Science - Specialization,IIT Kanpur,Microsoft Learn - Materials Science
380,Documentary Making,360 Video Production - Professional,Diploma VR - Specialization,IIT Roorkee,PMKVY - VR Content Creation
381,Astrology,Predictive Astrology,Certificate Astrology,Indian Council of Astrological Sciences,Traditional Learning Programs
382,Drones,UAV Operations,Diploma Drone Technology,Drone Destination,DGCA Remote Pilot License
383,Dance,Classical Dance - Fundamentals,Diploma Bharatanatyam,Kalakshetra Chennai,edX - Sangeet Natak Akademi
384,Theatre Arts,Direction - Professional,PG Diploma Theatre (Honours),FTII Pune,SWAYAM - Performing Arts (Certificate)
385,Horticulture,Practical Applied Mathematics,M.Sc Mathematics - Specialization,IIT Delhi,Simplilearn - Advanced Mathematics
386,Nanotechnology,Android Development,B.Tech CSE (Honours),Anna University,Coursera - Google Android Development Course
387,Cosmetology,Brick Laying,Certificate Masonry,NSDC Training Centers,NSDC - Construction Skills
388,Fire Safety,Industrial Safety,B.Tech Fire & Safety,Anna University,PMKVY - Safety Officer
389,Artificial Intelligence,Python Programming,BCA (Honours),Central Institute of Indian Languages,Udemy - Python Programming Specialization
390,Archaeology,Painting - Basics,BFA (Honours),Visva Bharati University (Dept. of CS),Government Art Workshop
391,Agriculture,Crop Management,B.Sc Agriculture,Indian Agricultural Research Institute,NPTEL - Agriculture & Food Engineering
392,Chemical Engineering,Petrochemicals,M.Tech Chemical,Anna University,PMKVY - Chemical Plant Operator
393,Archaeology,Intro to Big Data Analytics,PG Diploma Big Data (Honours),IIT Kharagpur,PMKVY - Big Data Training
394,Medical Science,Surgery,MBBS,CMC Vellore,Government Hospital Internship Program
395,Calligraphy,Sports Nutrition,B.Sc Sports Science,Lakshmibai National Institute,edX - Sports Nutrition
396,Stock Market Trading,Technical Analysis,Certificate Trading,NSE Academy,NSE Certification in Financial Markets
397,Stand-up Comedy,Space Science + International Relations,M.Sc Space Science (Honours),Physical Research Laboratory (Dept. of CS),NPTEL - Satellite Technology
398,Food Technology,Quantum Cryptography,PhD Quantum Science,IIT Madras,SWAYAM - Quantum Mechanics (Certificate)
399,Human Resources,Talent Management + Sculpture,BBA HR (Honours),Symbiosis Pune,NPTEL - Human Resource Management
400,Nanotechnology,Battery Technology,Diploma Comics - Specialization,All India Chess Federation,Google - Microeconomics
401,Siddha Medicine,Siddha Practice,BSMS,Government Siddha Medical College,AYUSH Siddha Programs
402,Linguistics,Power Systems,B.Tech Electrical,IIT Kharagpur (Dept. of CS),SWAYAM - Power System Engineering
403,Teaching,Intro to Online Business,BBA E-commerce,Christ University,SWAYAM - E-commerce Operations
404,Electrical Work,Fundamental Analysis,PG Diploma Capital Markets,NISM Mumbai,NISM Certifications
405,Ethical Hacking,Employment Law - Basics,PG Diploma Labor Law,TISS Mumbai,SWAYAM - Industrial Relations (Certificate)
406,Industrial Safety,Hair Styling - Intermediate,Certificate Beauty,VLCC Institute,PMKVY - Beauty Therapist
407,Reflexology,Animal Health + SEO,B.V.Sc,Indian Veterinary Research Institute,NPTEL - Veterinary Science
408,Data Science,Machine Learning,M.Tech CSE (Honours),All India Radio Training,SWAYAM - Machine Learning Specialization
409,Mechanical Engineering,CAD Design,B.Tech Mechanical,IIT Bombay,NPTEL - Engineering Drawing
410,Philosophy,Intro to Medical Imaging,B.Sc Radiology (Honours),Manipal University (Dept. of CS),SWAYAM - Radiology Technician
411,Electric Vehicles,Curation,PG Diploma Museum Studies,MS University Baroda (Dept. of CS),Government Heritage Programs
412,Screenwriting,Film Writing - Essentials,Diploma Screenwriting (Honours),FTII Pune,Simplilearn - Screenplay Writing
413,Environmental Engineering,Water Treatment + Applied Mathematics,M.Tech Environmental,Anna University,PMKVY - Water Quality Technician (Certificate)
414,Plumbing,Pipe Fitting - Essentials,ITI Plumbing,Government ITI,Google - Plumber Training
415,Culinary Arts,Building Design,B.Arch (Honours),IIT Kharagpur,NPTEL - Architecture & Planning
416,Fisheries,Aquaculture + Unreal Engine,B.F.Sc (Honours),Central Institute of Fisheries Education,NSDC - Fisheries Training (Certificate)
417,DevOps,Python Programming,Diploma in AI & ML,Swimming Federation of India,Coursera - Python Programming Specialization
418,Pharmacy,Practical Aircraft Design,B.Tech Aerospace (Honours),IIT Kanpur,NPTEL - Aerospace Engineering
419,Archaeology,Cryptocurrency - Advanced,M.Tech Blockchain,BITS Pilani,Coursera - Blockchain Specialization
420,Physical Education,Structural Design,M.Tech Structural,Anna University,Coursera - Construction Skills
421,Botany,Plant Breeding,PhD Botany,Indian Agricultural Research Institute,PMKVY - Agriculture Skills
422,Interpretation,Intro to Simultaneous Interpretation,Certificate Interpretation,CIIL Mysore,Government Translation Services
423,Industrial Safety,GST Compliance,PG Diploma Tax Law,SRM Institute,Coursera - GST & Taxation
424,Cybersecurity,Penetration Testing + Film Editing,PG Diploma Cybersecurity - Specialization,CDAC Pune,edX - Ethical Hacking
425,Masonry,Astrophysics,M.Sc Physics,Indian Institute of Astrophysics,SWAYAM - Astronomy
426,Rural Development,Real Estate Development,MBA Real Estate,NICMAR Pune,PMKVY - Real Estate Training
427,Nursing,Patient Care,B.Sc Nursing,CMC Vellore,Government Nursing Training Program
428,Voice Acting,Dubbing,Certificate Voice Acting,Anjali Dubbing Studios,PMKVY - Voice Over Artist
429,Product Management,Web Development,M.Sc Data Science,Indian Tattoo Institute,Microsoft Learn - Web Development Specialization
430,Real Estate,CT/MRI Technology + Astrophysics,Diploma Radiology,IGNOU,Government Hospital Training
431,Handicrafts,Network Security,M.Tech Network Security,Anna University (Dept. of CS),NPTEL - Cryptography & Network Security
432,Nutrition,Criminal Psychology - Professional,M.A Criminology,TISS Mumbai,NPTEL - Criminology (Certificate)
433,Blockchain Technology,Financial Regulations - Intermediate,LLM Banking Law - Specialization,NLIU Bhopal,NPTEL - Banking Law
434,Artificial Intelligence,Hands-on Genomics,M.Tech Bioinformatics (Honours),IIT Guwahati,SWAYAM - Computational Biology (Certificate)
435,Medical Science,Penetration Testing,PG Diploma Cybersecurity,CDAC Pune,NSDC - Ethical Hacking
436,Marine Science,Marine Conservation,M.Sc Marine Science,Goa University,INCOIS Training Programs
437,Dentistry,Oral Surgery,BDS,Manipal College of Dental Sciences,IDA Dental Workshop
438,Radio Production,Hands-on Applied Mathematics,M.Sc Mathematics,IIT Delhi,SWAYAM - Advanced Mathematics
439,Siddha Medicine,Animal Health + Social Research,B.V.Sc (Honours),SRM Institute,NPTEL - Veterinary Science
440,Special Education,Marketplace Management,MBA E-commerce,NMIMS Mumbai,Google Digital Garage
441,Electrical Engineering,Tattoo Design + UAV Operations,Certificate Tattoo Art,IIT BHU,Microsoft Learn - Body Art
442,Pharmaceutical Science,Clinical Trials - Advanced,PG Diploma Clinical Research (Honours),ACRF Delhi,Microsoft Learn - Clinical Research
443,Psychology,Actuarial Science,M.Sc Actuarial Science (Honours),University of Hyderabad,NSDC - Insurance Skills
444,Embedded Systems,Machine Learning,B.Tech Information Technology,Visva Bharati University,SWAYAM - Machine Learning Specialization
445,Swimming Coaching,Real Estate Development,MBA Real Estate,BITS Pilani,PMKVY - Real Estate Training (Certificate)
446,Siddha Medicine,Simultaneous Interpretation - Intermediate,Certificate Interpretation (Honours),CIIL Mysore,Government Translation Services
447,Augmented Reality,Fashion Tailoring,Diploma Tailoring,NSDC Training Centers,NSDC - Apparel Skills
448,Mathematics,Pure Mathematics,B.Sc Mathematics,St. Stephens College,NPTEL - Mathematics
449,Meteorology,Swimming Training,Diploma Swimming Coaching,IIT Roorkee,NSDC - Swimming Coach
450,Theatre Arts,Film Writing + Industrial Safety,Diploma Screenwriting,FTII Pune,NPTEL - Screenplay Writing
451,Aviation,Concepts of Public Policy,B.A Political Science - Specialization,JNU Delhi,Udemy - Political Science
452,Swimming Coaching,Textile Design,M.Des Fashion Design - Specialization,Pearl Academy,PMKVY - Apparel Training
453,Sports Management,Clinical Psychology,M.A Psychology,Delhi University,NPTEL - Introduction to Psychology
454,Urban Planning,City Development,M.Plan Urban Planning,SPA Delhi,NPTEL - Urban Planning
455,Microbiology,Industrial Microbiology,M.Tech Microbiology (Honours),Anna University,PMKVY - Laboratory Technician
456,Ethical Hacking,Concepts of Web Application Security,Certificate Ethical Hacking - Specialization,EC-Council India,Simplilearn - CEH Certification Training
457,Forensic Science,Financial Accounting - Professional,B.Com Accounting,Hindu College Delhi,Udemy - Tally Accounting
458,Stand-up Comedy,Applied Clinical Nutrition,B.Sc Nutrition (Honours),Lady Irwin College,Udemy - Nutrition & Dietetics
459,Law,Hands-on Corporate Law,LLB,Madras Christian College,Simplilearn - Introduction to Law
460,Music,Applied TV Series Writing,Certificate Screenwriting - Specialization,Whistling Woods Mumbai,NSDC - Content Writing
461,Human Resources,Organizational Development,MBA HR,XLRI Jamshedpur,PMKVY - HR Skills
462,Actuarial Science,Insurance Mathematics,M.Sc Actuarial Science,University of Mumbai,Actuarial Society of India
463,Industrial Safety,Radio Jockey,Diploma RJ,IIT Roorkee,Google - Radio Broadcasting
464,Biotechnology,Practical Crime Investigation,M.Sc Forensic Science,Gujarat Forensic Sciences University,NPTEL - Forensic Science (Certificate)
465,Comic Book Art,Applied Dubbing,Certificate Voice Acting (Honours),Anjali Dubbing Studios (Dept. of CS),PMKVY - Voice Over Artist
466,Environmental Law,Climate Policy,LLM Environmental Law,NLSIU Bangalore,NPTEL - Environmental Law
467,Radio Production,Radio Programming,Diploma Radio,Indian Institute of Mass Communication,NPTEL - Radio Broadcasting
468,Textile Design,Talent Management,BBA HR,Symbiosis Pune,NPTEL - Human Resource Management (Certificate)
469,Artificial Intelligence,NLP,B.Sc Computer Science,Anna University,SWAYAM - NLP Specialization
470,DevOps,Data Analysis,BCA,National Law School Bangalore,Udemy - Data Analysis Specialization
471,Journalism,Print Journalism - Fundamentals,B.A Journalism - Specialization,SRM Institute,NPTEL - Media Studies
472,Translation,Technical Translation,PG Diploma Translation,JNU Delhi,SWAYAM - Language Studies
473,Economics,Applied Oceanography,B.Sc Marine Science,Cochin University of Science,Udemy - Ocean Science
474,Dentistry,Orthodontics,MDS,Maulana Azad Institute,NPTEL - Oral Health Sciences
475,Nutrition,Holistic Wellness,Diploma Aromatherapy,Nature's Nest Wellness,NSDC - Alternative Therapy
476,Forensic Science,Crime Investigation,M.Sc Forensic Science,Gujarat Forensic Sciences University,Microsoft Learn - Forensic Science
477,History,Archaeological Studies,B.A History,University of Hyderabad,NPTEL - Indian Heritage
478,Electric Vehicles,Hands-on EV Design,M.Tech Automobile (Honours),VIT Vellore,SWAYAM - EV Technician
479,Disaster Management,Agricultural Extension + Sound Engineering,Diploma Rural Development - Specialization,NIRD Hyderabad,NPTEL - Rural Development
480,Environmental Law,Pollution Control,PG Diploma Environmental Law (Honours),SLS Pune,Coursera - Environmental Regulations
481,Painting,Concepts of Industrial Painting,Diploma Painting,NSDC Training Centers,Simplilearn - Painting Skills
482,Rural Development,Agricultural Extension,Diploma Rural Development,NIRD Hyderabad,PMKVY - Rural Development
483,Swimming Coaching,Water Safety,Certificate Swimming Coaching,Sports Authority of India,Lifeguard Certification
484,Artificial Intelligence,Data Analysis,Diploma in AI & ML - Specialization,Drone Destination,Coursera - Data Analysis Specialization
485,Martial Arts,Operations Management,BBA,NMIMS Mumbai,SWAYAM - Operations Management
486,Electrical Work,Industrial Wiring,Diploma Electrical,NSDC Training Centers,NSDC - Electrical Skills
487,Tailoring,Garment Stitching,ITI Dress Making,Government ITI,PMKVY - Tailor Training
488,DevOps,Data Analysis,Diploma in AI & ML (Honours),St. Stephens College,Google - Data Analysis Specialization
489,Digital Marketing,SEO,BBA Marketing,Christ University,Google Digital Marketing Course
490,DevOps,Python Programming,M.Tech CSE - Specialization,High Court Training Programs,edX - Python Programming Specialization
491,Cybersecurity,Python Programming,M.Tech CSE,Punjab Agricultural University,Google - Python Programming Specialization
492,Software Development,NLP,M.Sc Data Science,BITS Pilani,Simplilearn - NLP Specialization
493,Yoga Therapy,Therapeutic Yoga - Intermediate,B.Sc Yoga Therapy (Honours),Swami Vivekananda Yoga University,AYUSH Yoga Programs (Certificate)
494,Political Science,International Relations,M.A Political Science,Delhi University,SWAYAM - Indian Polity
495,Sports Management,Intro to Food Processing,B.Tech Food Technology,Vellore Institute of Technology,Pluralsight - Food Technology
496,Robotics,Robot Programming,B.Tech Robotics,Manipal University,NPTEL - Robotics
497,Aviation,Bowling Techniques - Intermediate,Certificate Cricket Coaching,State Cricket Associations (Dept. of CS),NSDC - Sports Coach
498,Virtual Reality,Hatchery Management,Diploma Poultry,CARI Bareilly,Coursera - Poultry Skills
499,Comic Book Art,Illustration - Fundamentals,Diploma Comics (Honours),Arena Animation,Coursera - Illustration Skills
500,Law,Criminal Law + Urban Sociology,LLM - Specialization,IIT Roorkee,SWAYAM - Legal Studies
501,Real Estate,Property Management + Football Training,BBA Real Estate,RICS School of Built Environment,Google - Real Estate Skills
502,Internet of Things,Sensor Networks,M.Tech IoT,VIT Vellore,NSDC - IoT Skills Development
503,Publishing,Book Design + Financial Analysis,PG Diploma Publishing (Honours),University of Mumbai,NSDC - Print Media
504,Real Estate,House Painting + Dubbing,ITI Painting,Government ITI,PMKVY - Painter Training
505,Product Management,Embedded C,Diploma in AI & ML (Honours),IIT Kharagpur,Coursera - Embedded C Specialization
506,Drones,Aerial Photography - Intermediate,Certificate Drone Piloting,Indian Institute of Drones,SWAYAM - Drone Operator
507,Astrology,Aerodynamics - Fundamentals,M.Tech in Aerospace,IIT Madras (Dept. of CS),NSDC - Aviation Maintenance
508,Museum Studies,Practical Curation,PG Diploma Museum Studies,MS University Baroda,Government Heritage Programs
509,Unani Medicine,Hands-on Unani Practice,BUMS,Aligarh Muslim University (Dept. of CS),AYUSH Unani Programs (Certificate)
510,Comic Book Art,Practical Yoga Instruction,Certificate Yoga,IIT BHU,PMKVY - Yoga Instructor (Certificate)
511,Graphic Design,Practical Digital Illustration,B.Des Graphic Design,NID Ahmedabad,NPTEL - Design Thinking
512,Real Estate,Applied Organizational Development,MBA HR,IIT Kharagpur,Pluralsight - HR Skills
513,Actuarial Science,Insurance Mathematics - Fundamentals,M.Sc Actuarial Science,University of Mumbai,NPTEL - Actuarial Society of India
514,Electronics Engineering,Embedded Systems,M.Tech VLSI,BITS Pilani,NSDC - Electronics Technician
515,Agriculture,Astrophysics - Basics,M.Sc Physics,Indian Institute of Astrophysics,SWAYAM - Astronomy
516,Fashion Design,Hands-on Industrial Safety,B.Tech Fire & Safety,Anna University,PMKVY - Safety Officer (Certificate)
517,Publishing,Occupational Health,B.Tech Industrial Safety - Specialization,University of Petroleum,NPTEL - Safety Engineering
518,Horticulture,Landscape Design,M.Sc Horticulture,University of Agricultural Sciences,Government Agriculture Programs
519,Sericulture,Silkworm Rearing,Diploma Sericulture - Specialization,Central Silk Board,Coursera - Silk Farming
520,Law,Criminal Law,LLM,NALSAR Hyderabad,SWAYAM - Legal Studies
